Station_Name,Call_Sign,ST,Latitude (DD),Longitude (DD),Elev (m),Air_Temperature(m),Anemometor(m),Barometer(m),Sea_Temp(m),Sea_Depth(m)
Delaware_City,DELD1,DE,39.582,-75.589,2.3,3.8,7.2,4.8,2.1,NaN
Reedy_Point,RDYD1,DE,39.558,-75.572,2.3,6.6.,NaN,5,0.8,NaN
Chesapeake_City,CHCM2,MD,39.5275,-75.81,1.8,6.5,6.8,3.4,4.2,NaN
Ship_John_Shoal,SJSN4,NJ,39.305,-75.377,6.3,3,14.8,7.4,3.8,NaN
Brandywine_Shoal_Lighthouse,BRND1,DE,38.98694444,-75.11305556,1.9,20.6,21.1,8.3,5.8,NaN
Cape_May,CMAN4,NJ,38.96777778,-74.96,3.2,5.6,9.7,4.6,1.8,NaN
Lewes,LWSD1,DE,38.78277778,-75.11916667,2.6,8,9.5,5.2,1.7,NaN
Atlantic_City,ACYN4,NJ,39.357,-74.418,8.3,2.8,NaN,9.7,2.1,NaN
Nacote_Creek_Jacques_Cousteau_Reserve,JCRN4,NJ,39.535,-74.464,0.9,2.9,12.5,3.1,NaN,NaN
Atlantic_City_Marina,ACMN4,NJ,39.38,-74.42,0,NaN,15,NaN,NaN,NaN
DELAWARE_BAY_26_NM_Southeast_of_Cape_May,44009,DE,38.461,-74.703,0,4,5,0,0.6,43
Ocean_City_NOAA,OCIM2,MD,38.32833333,-75.09111111,2,2.4,8.5,3.1,3.7,NaN
Ocean_City_Army,OCSM2,MD,38.338,-75.07,-11,NaN,NaN,NaN,11.5,NaN
Wallops_Island,44089,VA,37.757,-75.334,0,NaN,NaN,NaN,0.46,16.9
Bishops_Head,BISM2,MD,38.22027778,-76.03861111,1.1,3.3,7.1,2.8,10.8,NaN
Cambridge,CAMM2,MD,38.57388889,-76.06861111,2.3,3.5,6.4,3.7,7.3,NaN
Thomas_Point,TPLM2,MD,38.899,-76.436,0,17.4,18,12.2,NaN,NaN
Tolchester_Beach,TCBM2,MD,39.213,-76.244,3,4.8,6.7,4.8,4.4,NaN
Marcus_Hook,MRCP1,PA,39.809,-75.415,2.4,3.9,NaN,3.5,6.4,NaN
Gooses_Reef,44062,MD,38.556,-76.415,0,3,3,1,0.5,NaN
Stingray_Point,44058,VA,37.567,-76.257,0,3,3,1,0.5,NaN
Rappahannock_Light,RPLV2,VA,37.538,-76.014,0,NaN,16.9,4.9,NaN,NaN
Wachapreague,WAHV2,VA,37.608,-75.686,1.5,5.4,7,3.9,0.2,NaN
Bethany,BTHD1,DE,38.537,-75.046,-11,NaN,NaN,NaN,11.5,NaN
Avalon,AVAN4,NJ,39.09,-74.72,0,NaN,10,NaN,NaN,4.5
Chestnut_Neck_Jacques_Cousteau_Reserve,JCQN4,NJ,39.548,-74.461,NaN,NaN,NaN,NaN,NaN,NaN
Jacques_Cousteau_Reserve,JCTN4,NJ,39.508,-74.338,NaN,NaN,NaN,NaN,NaN,NaN
Scotton_Landing_DENERR,SCLD1,DE,39.08472222,-75.46083333,NaN,2.9,4.5,2.2,NaN,NaN
Saint_Jones_River_DE_DENERR,DRSD1,DE,39.089,-75.437,1.2,2.9,4.5,3.4,NaN,NaN
